X,Y
6895.0,34.54488
6907.0,34.6497408
6919.0,34.7552352
6931.0,34.8613632
6943.0,34.9681248
6955.0,35.07552
6967.0,35.1835488
6979.0,35.2922112
6991.0,35.4015072
7003.0,35.5114368
7015.0,35.622
7027.0,35.7331968
7039.0,35.8450272
7051.0,35.9574912
7063.0,36.0705888
7075.0,36.18432
7087.0,36.2986848
7099.0,36.4136832
7111.0,36.5293152
7123.0,36.6455808
7135.0,36.76248
7147.0,36.8800128
7159.0,36.9981792
7171.0,37.1169792
7183.0,37.2364128
7195.0,37.35648
7207.0,37.4771808
7219.0,37.5985152
7231.0,37.7204832
7243.0,37.8430848
7255.0,37.96632
7267.0,38.0901888
7279.0,38.2146912
7291.0,38.3398272
7303.0,38.4655968
7315.0,38.592
7327.0,38.7190368
7339.0,38.8467072
7351.0,38.9750112
7363.0,39.1039488
7375.0,39.23352
7387.0,39.3637248
7399.0,39.4945632
7411.0,39.6260352
7423.0,39.7581408
7435.0,39.89088
7447.0,40.0242528
7459.0,40.1582592
7471.0,40.2928992
7483.0,40.4281728
7495.0,40.56408
7507.0,40.7006208
7519.0,40.8377952
7531.0,40.9756032
7543.0,41.1140448
7555.0,41.25312
7567.0,41.3928288
7579.0,41.5331712
7591.0,41.6741472
7603.0,41.8157568
7615.0,41.958
7627.0,42.1008768
7639.0,42.2443872
7651.0,42.3885312
7663.0,42.5333088
7675.0,42.67872
7687.0,42.8247648
7699.0,42.9714432
7711.0,43.1187552
7723.0,43.2667008
7735.0,43.41528
7747.0,43.5644928
7759.0,43.7143392
7771.0,43.8648192
7783.0,44.0159328
7795.0,44.16768
7807.0,44.3200608
7819.0,44.4730752
7831.0,44.6267232
7843.0,44.7810048
7855.0,44.93592
7867.0,45.0914688
7879.0,45.2476512
7891.0,45.4044672
7903.0,45.5619168
7915.0,45.72
7927.0,45.8787168
7939.0,46.0380672
7951.0,46.1980512
7963.0,46.3586688
7975.0,46.51992
7987.0,46.6818048
7999.0,46.8443232
8011.0,47.0074752
8023.0,47.1712608
8035.0,47.33568
8047.0,47.5007328
8059.0,47.6664192
8071.0,47.8327392
8083.0,47.9996928
8095.0,48.16728
