X,Y
14095.0,48.65832
14107.0,48.9347712
14119.0,49.2128928
14131.0,49.4926848
14143.0,49.7741472
14155.0,50.05728
14167.0,50.3420832
14179.0,50.6285568
14191.0,50.9167008
14203.0,51.2065152
14215.0,51.498
14227.0,51.7911552
14239.0,52.0859808
14251.0,52.3824768
14263.0,52.6806432
14275.0,52.98048
14287.0,53.2819872
14299.0,53.5851648
14311.0,53.8900128
14323.0,54.1965312
14335.0,54.50472
14347.0,54.8145792
14359.0,55.1261088
14371.0,55.4393088
14383.0,55.7541792
14395.0,56.07072
14407.0,56.3889312
14419.0,56.7088128
14431.0,57.0303648
14443.0,57.3535872
14455.0,57.67848
14467.0,58.0050432
14479.0,58.3332768
14491.0,58.6631808
14503.0,58.9947552
14515.0,59.328
14527.0,59.6629152
14539.0,59.9995008
14551.0,60.3377568
14563.0,60.6776832
14575.0,61.01928
14587.0,61.3625472
14599.0,61.7074848
14611.0,62.0540928
14623.0,62.40278048
14635.0,62.754878
14647.0,63.11048768
14659.0,63.46960952
14671.0,63.83224352
14683.0,64.19838968
14695.0,64.568048
14707.0,64.94121848
14719.0,65.31790112
14731.0,65.69809592
14743.0,66.08180288
14755.0,66.469022
14767.0,66.85975328
14779.0,67.25399672
14791.0,67.65175232
14803.0,68.05302008
14815.0,68.4578
14827.0,68.86609208
14839.0,69.27789632
14851.0,69.69321272
14863.0,70.11204128
14875.0,70.534382
14887.0,70.96023488
14899.0,71.38959992
14911.0,71.82247712
14923.0,72.25886648
14935.0,72.698768
14947.0,73.14218168
14959.0,73.58910752
14971.0,74.03954552
14983.0,74.49349568
14995.0,74.950958
15007.0,75.41193248
15019.0,75.87641912
15031.0,76.34441792
15043.0,76.81592888
15055.0,77.290952
15067.0,77.76948728
15079.0,78.25153472
15091.0,78.73709432
15103.0,79.22616608
15115.0,79.71875
15127.0,80.21484608
15139.0,80.71445432
15151.0,81.21757472
15163.0,81.72420728
15175.0,82.234352
15187.0,82.74800888
15199.0,83.26517792
15211.0,83.78585912
15223.0,84.31005248
15235.0,84.837758
15247.0,85.36897568
15259.0,85.90370552
15271.0,86.44194752
15283.0,86.98370168
15295.0,87.528968
15307.0,88.07774648
15319.0,88.63003712
15331.0,89.18583992
15343.0,89.74515488
15355.0,90.307982
15367.0,90.87432128
15379.0,91.44417272
15391.0,92.01753632
15403.0,92.59441208
15415.0,93.1748
15427.0,93.75870008
15439.0,94.34611232
15451.0,94.93703672
15463.0,95.53147328
15475.0,96.129422
15487.0,96.73088288
15499.0,97.33585592
15511.0,97.94434112
15523.0,98.55633848
15535.0,99.171848
15547.0,99.79086968
15559.0,100.41340352
15571.0,101.03944952
15583.0,101.66900768
15595.0,102.302078
15607.0,102.93866048
15619.0,103.57875512
15631.0,104.22236192
15643.0,104.86948088
15655.0,105.520112
15667.0,106.17425528
15679.0,106.83191072
15691.0,107.49307832
15703.0,108.15775808
15715.0,108.82595
